Gene,Half-life (h)
IL28RA,0.7
TLR1,0.7
TUBD1,0.7
FAM39DP,0.7
TP53RK,0.7
FANCF,0.7
FAM122A,0.7
B3GALT6,0.7
GADD45A,0.7
BTG3,0.7
ARL4A,0.7
ZNF500,0.7
THAP7,0.7
ID2 /// ID2B,0.7
CCDC94,0.7
LOC729810,0.7
SUV39H1,0.7
FAM44B,0.7
MGLL,0.7
C1orf156,0.7
ZNF3,0.7
ZNF767,0.7
HIG2,0.7
TMEM11,0.7
C20orf111,0.8
WDR20,0.8
TMEM55B,0.8
TMEM177,0.8
NKIRAS1,0.8
ZNF545,0.8
ARF6,0.8
RNF12,0.8
PIM3,0.8
PPRC1,0.8
LRRC14,0.8
PHF13,0.8
C20orf29,0.8
ZNF77,0.8
CCNE1,0.8
ZCCHC3,0.8
TOE1,0.8
CCDC88C,0.8
FOXP1,0.8
C1orf63,0.8
ARRDC2,0.8
FBXL12,0.8
CBX4,0.8
RUNDC1,0.8
C6orf166,0.8
C5orf37,0.8
BRD2,0.8
ZBTB48,0.8
C4orf8,0.8
PRDM4,0.8
FAM83D,0.8
LOC152217,0.8
CNOT4,0.8
ZNF398,0.8
HCP5,0.8
ANKRD49,0.8
PANK4,0.9
LOC731429 /// SMURF1,0.9
NXT1,0.9
SPATA2,0.9
ID2,0.9
RSBN1,0.9
GEMIN4,0.9
USP42,0.9
UBAP1,0.9
MGC3196,0.9
SIAH1,0.9
CDKN1B,0.9
PIM1,0.9
TRIM35,0.9
CDCA4,0.9
ZNF383,0.9
HERPUD1,0.9
ZMYND8,0.9
ZNF124,0.9
KIAA0409,0.9
C17orf51,0.9
HSPA14,0.9
DEDD2,0.9
C19orf48,0.9
TFEB,0.9
LIPT1,0.9
LOC145758,0.9
SLC7A6OS,0.9
LOC729088,0.9
MICB,0.9
MYC,0.9
ZMYM5,0.9
CCDC130,0.9
BYSL,0.9
TRIM8,0.9
DCP1B,0.9
FBXO45,0.9
NFX1,0.9
SETMAR,0.9
RALGDS,0.9
SNHG10,0.9
TRIB1,0.9
TRMT12,0.9
HIC2,0.9
ATG4D,0.9
C7orf40,0.9
FRAT2,0.9
C13orf15,0.9
TMEM185B,0.9
ADPRHL2,1
LRRC8C,1
C2orf42,1
LOC339229,1
POLR1C,1
PPM1D,1
PEX12,1
MCPH1,1
ADORA2A,1
KEAP1,1
CDR2,1
BCL10,1
C7orf49,1
LOC202781,1
GFOD2,1
DCLRE1B,1
DOLPP1,1
E2F6,1
DNAJB1,1
RBM38,1
CCR7,1
P2RY8,1
ZNF434,1
MKL1,1
ZNF670,1
LOC645676,1
ZNF180,1
LRRC8A,1
ERN1,1
NRBF2,1
NUP98 /// PHF23,1
PEO1,1
SGMS1,1
USPL1,1
LY9,1
BCL6,1
C19orf52,1
ZNF174,1
ZNF200,1
TMEM138,1
C14orf102,1
CRSP7,1
JAGN1,1
PTRH2,1
BUD13,1
ZSCAN2,1
MIRN21,1
FAM108B1,1
C12orf44,1
MAFK,1
MGC21874,1
DGCR14,1
C2orf44,1
MAB21L1,1
ASB6,1
MIS12,1
MYST2,1
TFIP11,1
RAI1,1
PLCL2,1
LDLR,1
RP9,1
ID4,1
FAM69A,1
CCDC49,1
ZNF227,1.1
ZBTB17,1.1
ZKSCAN5,1.1
TXNIP,1.1
CNR2,1.1
FLJ36031,1.1
SNAPC4,1.1
KIAA1754L,1.1
ZNF688,1.1
PALB2,1.1
NECAP1,1.1
MCL1,1.1
MED17,1.1
LOC25845,1.1
EPC1,1.1
PDXP,1.1
ZNF337,1.1
FBXO8,1.1
NRF1,1.1
RNF139,1.1
JMJD6,1.1
C20orf44,1.1
PSCDBP,1.1
ATF7IP,1.1
C19orf39,1.1
HHEX,1.1
LOC727893 /// PDE4DIP,1.1
C6orf136,1.1
C1orf107,1.1
RAB9A,1.1
XYLT2,1.1
TXNDC11,1.1
ZNF576,1.1
C3orf38,1.1
NUFIP2,1.1
SPRYD4,1.1
DNMBP,1.1
LOC338758,1.1
PANX1,1.1
C12orf47,1.1
VPRBP,1.1
ALG2,1.1
C12orf41,1.1
RAB30,1.1
C15orf37,1.1
MGAT2,1.1
HNRNPA1,1.1
ZBTB7A,1.1
TLR9,1.1
JUND,1.1
ARHGAP25,1.1
ARHGAP24,1.1
NDNL2,1.1
TGIF2,1.1
C20orf4,1.1
ZNF419,1.1
LOC644124 /// SIRT7,1.1
PRDM15,1.1
LOC644353,1.2
SAP30BP,1.2
GAB1,1.2
STRN4,1.2
GTF3C4,1.2
MGC3032,1.2
C18orf21,1.2
CXXC5,1.2
GGNBP2,1.2
RREB1,1.2
LYPLA3,1.2
TMED1,1.2
CROCCL1,1.2
KLF6,1.2
RELL1,1.2
ZNF140,1.2
COQ10B,1.2
CCDC16,1.2
STK17B,1.2
ZFP1,1.2
EIF2AK3,1.2
ZBTB5,1.2
TOB2,1.2
C14orf169,1.2
TICAM2,1.2
CD55,1.2
C17orf71,1.2
SNX11,1.2
TMEM188,1.2
RARA,1.2
TRIM68,1.2
ZNF136,1.2
GBP3,1.2
VPS37C,1.2
TMEM60,1.2
RNF19A,1.2
ARHGEF2,1.2
ZNF12,1.2
UVRAG,1.2
TIFA,1.2
CNO,1.2
TGFBR2,1.2
CCDC127,1.2
ASPHD2,1.2
C1orf160,1.2
TLK2,1.2
DOHH,1.2
ZFP36L2,1.2
TSC22D2,1.2
CDT1,1.2
SPRED2,1.2
TMEM41A,1.2
PHF17,1.2
MNT,1.2
FAM39DP /// FAM39E /// LOC376475 /// LOC653635,1.2
DKFZp762E1312,1.2
NGRN,1.2
TMEM186,1.2
POP7,1.2
KIAA0040,1.2
ZNF643,1.2
BAG3,1.2
PPAPDC2,1.2
C4orf15,1.2
C14orf43,1.2
CHST12,1.2
FLJ10038,1.3
ZC3HAV1,1.3
RPS28,1.3
SESN2,1.3
RNMTL1,1.3
ZFAND2A,1.3
PPAN /// PPAN-P2RY11,1.3
ZNF148,1.3
ALKBH2,1.3
PLEKHM1,1.3
LOC643837,1.3
CCDC21,1.3
NFKBIZ,1.3
E2F8,1.3
ZNF384,1.3
NOL1,1.3
SNHG3,1.3
PTGER4,1.3
ALKBH1,1.3
ZNF133,1.3
IHPK1,1.3
CENPL,1.3
SLC25A38,1.3
B4GALT5,1.3
MOCS3,1.3
GCC1,1.3
RNF4,1.3
C8orf76,1.3
FBXW7,1.3
FXR2,1.3
ZSCAN22,1.3
WDR47,1.3
PNRC1,1.3
C11orf68,1.3
CXCR4,1.3
FNTB,1.3
C8orf41,1.3
C10orf22,1.3
FASTKD5,1.3
GMEB2,1.3
IFIT3,1.3
SCYL3,1.3
TM2D3,1.3
ALKBH4,1.3
COL1A1,1.3
NLE1,1.3
CTA-126B4.3 /// dJ222E13.2,1.3
DDX20,1.3
EGLN2,1.3
SFRS15,1.3
EIF1,1.3
ZNF33B,1.3
POLR3H,1.3
ZNF281,1.3
DAGLB,1.3
NANP,1.3
COIL,1.3
CENPQ,1.4
LOC728766 /// PRDM15,1.4
BRD1,1.4
CYB561D1,1.4
KIAA0157,1.4
LOC646561,1.4
DTL,1.4
ZBED1,1.4
NAT1,1.4
CBX2,1.4
RP13-15M17.2,1.4
ZNF498,1.4
C14orf4,1.4
FOXO1,1.4
TNFSF10,1.4
FLJ20294,1.4
TRIM32,1.4
LOC400506,1.4
CHD9,1.4
UQCR,1.4
N4BP1,1.4
TIGD2,1.4
MOAP1,1.4
NEDD9,1.4
RUNX3,1.4
ZNF544,1.4
TBL2,1.4
HIST1H1C,1.4
ZNF266,1.4
CCNL1,1.4
ZBED5,1.4
ZNF268,1.4
CXYorf1 /// FAM39B /// FAM39DP /// FAM39E /// LOC376475,1.4
CCDC12,1.4
EDG5,1.4
C5orf13,1.4
RNF103,1.4
CNNM2,1.4
ZNF567,1.4
DOT1L,1.4
CD83,1.4
NCK1,1.4
PDRG1,1.4
ZNF85,1.4
ZNF786,1.4
IRF2BP2,1.4
ZFYVE27,1.4
LOC400657,1.4
C11orf79,1.4
ANKRD11,1.4
SOBP,1.4
AICDA,1.4
KIAA1267,1.4
P2RY10,1.4
KLF10,1.4
LOC145853,1.4
ATF4,1.4
C14orf172,1.4
C9orf156,1.4
SLC17A5,1.4
PISD,1.4
CENPO,1.4
ING2,1.4
NUDT17,1.4
JMJD1C,1.4
ZNF137,1.4
C8orf53,1.4
ZNF639,1.4
KCNN4,1.4
ZFAND5,1.4
MYNN,1.4
LOC388796,1.5
C18orf17,1.5
LOC150223,1.5
SAP30L,1.5
ZSCAN5,1.5
SNHG8,1.5
LOC439949,1.5
PRKAB1,1.5
WDR37,1.5
HS6ST1,1.5
C5orf24,1.5
TNFRSF10B,1.5
RNF41,1.5
DIDO1,1.5
BBC3,1.5
C12orf65,1.5
E4F1,1.5
COG8 /// PDF,1.5
ACVR1B,1.5
LOC644132 /// MAFG,1.5
ZNF765,1.5
TOR1B,1.5
ZNF506,1.5
BNIP1,1.5
HYPE,1.5
PPAP2A,1.5
GNPDA2,1.5
CGRRF1,1.5
RDH14,1.5
KCNJ12,1.5
CXYorf1 /// FAM39B /// FAM39DP /// FAM39E /// LOC376475 /// LOC653635,1.5
FAM104A,1.5
TANK,1.5
CHD8,1.5
CANT1,1.5
PITX1,1.5
CCDC59,1.5
MGAT1,1.5
MLL4,1.5
HOXC4,1.5
SDF2,1.5
CD80,1.5
CDKN2AIP,1.5
ZNF804A,1.5
MAML1,1.5
C7orf26,1.5
AKAP8,1.5
RPL37A,1.5
ZNF182,1.5
WBSCR18,1.5
TNFRSF10A,1.5
AP3M2,1.5
CCNL2 /// LOC727877,1.5
WDR89,1.5
TMEM39A,1.5
C17orf56,1.5
KIAA0460,1.5
RAB40C,1.5
ZNF600,1.5
ZNF19 /// ZNF23,1.5
B3GNT2,1.5
FBXW5,1.5
ZNF468,1.5
ZNF347,1.5
RNF111,1.5
BXDC2,1.5
MOBKL2A,1.5
GUSBL2,1.5
TMEM68,1.5
C1orf71,1.5
E2F1,1.5
C19orf7,1.5
SNIP1,1.5
BTN2A1,1.5
NFE2L3,1.5
RBM15B,1.5
SPATA5L1,1.5
UBL4A,1.5
SLC25A44,1.5
SC4MOL,1.5
LOC439994 /// LOC642361,1.5
STK17A,1.5
SMURF2,1.5
GSPT2,1.5
FAM57A,1.5
RHPN2,1.5
RNF207,1.5
PI4K2A,1.5
LIN37,1.5
KIAA0922,1.5
FBXO5,1.6
CD2BP2,1.6
ZNF75A,1.6
TNFRSF17,1.6
PRC1,1.6
ZNF24,1.6
EVI2B,1.6
ZNF84,1.6
KIAA0247,1.6
FLJ43663,1.6
MED7,1.6
MASTL,1.6
CCDC107,1.6
FBXO46,1.6
DUSP14,1.6
ZBTB39,1.6
MXI1,1.6
ARL17P1,1.6
YTHDF3,1.6
MBP,1.6
ZFP64,1.6
MSL2L1,1.6
SAC3D1,1.6
PHLPP,1.6
AFG3L1,1.6
SLITRK5,1.6
ADRM1,1.6
BICD2,1.6
DHX30,1.6
RNF145,1.6
SNRK,1.6
ZNF608,1.6
SRXN1,1.6
RG9MTD1,1.6
FLJ13195,1.6
F8A1,1.6
C17orf48,1.6
ZBTB26,1.6
PPP3CC,1.6
TADA1L,1.6
TNFAIP3,1.6
U1SNRNPBP,1.6
NANOS1,1.6
PTCH1,1.6
C14orf138,1.6
SLC3A2,1.6
GEMIN7,1.6
TIMM9,1.6
NAGLU,1.6
SLC25A28,1.6
GUSB,1.6
MRPS2,1.6
SEDLP /// TRAPPC2,1.6
ZHX2,1.6
C1GALT1,1.6
TCL6,1.6
PRKD2,1.6
ROR1,1.6
PLEKHF2,1.6
ADNP,1.6
RSBN1L,1.6
TOB1,1.6
PAQR4,1.6
TXLNA,1.6
KIAA0892,1.6
INOC1,1.6
KIAA1787,1.6
LOC439911,1.6
GZF1,1.6
KCTD2,1.7
SFRS17A,1.7
CHMP7,1.7
MGC14327,1.7
LHFPL2,1.7
CDC25A,1.7
TMEM157,1.7
FAM86B1,1.7
KIAA1826,1.7
JRK,1.7
IL16,1.7
C14orf122,1.7
KIAA1553,1.7
ANKRD17,1.7
PCF11,1.7
ZNF592,1.7
CCDC86,1.7
HSPC111,1.7
PIP5K1B,1.7
ATF5,1.7
RFWD3,1.7
ZRANB1,1.7
LIN52,1.7
ZNF410,1.7
HIST1H2BF,1.7
C20orf198,1.7
C11orf82,1.7
PHF20,1.7
C12orf49,1.7
ZNF800,1.7
SNHG1,1.7
AMMECR1L,1.7
KIAA2026,1.7
GRPEL2,1.7
NPAT,1.7
ZNF672,1.7
CCDC44,1.7
ZBTB2,1.7
FXC1,1.7
COMMD5,1.7
PURA,1.7
GSK3B,1.7
LEMD2,1.7
KIAA0802,1.7
DBR1,1.7
LOC91893,1.7
INTS12,1.7
RBM33,1.7
MEIS2,1.7
FLJ20209,1.7
RHBDD3,1.7
HMG2L1,1.7
MAP3K1,1.7
ERC1,1.7
ZNF195,1.7
CCNE2,1.7
ZNF551,1.7
RBM16,1.7
PRNP,1.7
LOC401805,1.7
YTHDF1,1.7
PMM2,1.7
TRIM27,1.7
BARD1,1.7
ELF2,1.7
POLR1D,1.7
WDR74,1.7
YRDC,1.7
C9orf69,1.7
C7orf20,1.7
INPP5A,1.7
AKAP13,1.7
CLK4,1.7
SURF6,1.7
DET1,1.7
FBXL5,1.8
MUS81,1.8
C1orf124,1.8
TRAF4,1.8
FRY,1.8
FBXL3,1.8
SOX12,1.8
C13orf7,1.8
FLJ11903,1.8
TRIM39,1.8
NUP160,1.8
OXSM,1.8
RPS6KC1,1.8
NKIRAS2,1.8
GPATCH2,1.8
KLHL20,1.8
INTS4,1.8
TRIAP1,1.8
CDK3,1.8
CDC42SE1,1.8
LOC729705,1.8
CSRP2BP,1.8
ST8SIA4,1.8
CLLU1,1.8
MARS2,1.8
NEK8,1.8
LOC729697,1.8
FLJ14154,1.8
SCYL1BP1,1.8
FTSJ2,1.8
LOC285074,1.8
GON4L,1.8
TCEB3,1.8
YTHDF2,1.8
ARRDC4,1.8
HYAL2,1.8
IRF4,1.8
CHAF1A,1.8
MTERFD2,1.8
C21orf57,1.8
TMEM87A,1.8
SNN,1.8
UBXD8,1.8
TLR10,1.8
OBFC2A,1.8
CCNJ,1.8
PDP2,1.8
PHF12,1.8
KIAA1949,1.8
FBXL14,1.8
NFE2L1,1.8
ATP13A1,1.8
RIPK5,1.8
TRAF1,1.8
GFOD1,1.8
FAM89A,1.8
PRDM2,1.8
CTGLF1 /// CTGLF2 /// CTGLF6 /// CTGLF7 /// CTGLF9P,1.8
TNIP2,1.8
NAT9,1.8
STAM,1.8
ZEB2,1.8
C16orf72,1.8
ZNF562,1.8
PUM1,1.8
IMP3,1.8
KLHL14,1.8
TGS1,1.8
C16orf28,1.8
DMTF1,1.8
ISG20L2,1.8
C17orf42,1.8
TAF3,1.8
C13orf34,1.8
LOC642441 /// LOC730256 /// LOC730257,1.8
SLC38A2,1.8
FLJ11236,1.8
KBTBD6,1.8
SERTAD2,1.8
CASK,1.8
SH2B3,1.8
LOC654433,1.8
FOXO3,1.8
DNTTIP2,1.8
RBM13,1.8
SETD1B,1.8
MLL5,1.8
RELB,1.8
NUP35,1.8
C6orf114,1.8
CSTF1,1.8
FLJ38973,1.8
PIF1,1.8
ZFYVE26,1.9
MED19,1.9
PHF15,1.9
BIC,1.9
HCCA2,1.9
CXorf40A /// CXorf40B,1.9
LOC731210 /// MICAL3,1.9
MGC13379,1.9
GRWD1,1.9
RABEP2,1.9
TBPL1,1.9
BRAP,1.9
FAM79A,1.9
ICMT,1.9
DAXX,1.9
FAM53B,1.9
RHBDF2,1.9
PPIF,1.9
KCMF1,1.9
MAP6D1,1.9
ZXDB,1.9
ZFP36L1,1.9
LOC284801,1.9
ZNF93,1.9
TMEM62,1.9
ZNF532,1.9
C11orf71,1.9
LOC400027,1.9
CYB561D2,1.9
LRRK1,1.9
RC3H1,1.9
hCG_1998957 /// HLA-DRB1 /// HLA-DRB3 /// HLA-DRB4 /// HLA-DRB5 /// LOC730415,1.9
C6orf113,1.9
C1orf175 /// TTC4,1.9
RLF,1.9
LRIG2,1.9
ZMYND19,1.9
PLEKHO1,1.9
NPC1,1.9
BIRC3,1.9
SATB1,1.9
RUNX1T1,1.9
CAMSAP1,1.9
FLJ35390,1.9
NXF1,1.9
ZCCHC2,1.9
ATG9A,1.9
C1orf75,1.9
TESK1,1.9
ZNF787,1.9
TLE3,1.9
FBXO34,1.9
CLK3,1.9
GTF2B,1.9
HTATIP,1.9
ACACA,1.9
UGCG,1.9
ESCO2,1.9
CNKSR2,1.9
UBE2R2,1.9
MGC16385,1.9
LDOC1L,1.9
LOC727942,1.9
UMPS,1.9
C1orf212,1.9
C22orf13,1.9
RANBP6,1.9
RNPC3,1.9
AFTPH,1.9
ATXN1L,1.9
DKFZP564O0523,1.9
RCP9,1.9
CCNF,1.9
FBXO28,1.9
CNOT2,1.9
GRAMD1A,1.9
EPC2,1.9
CDCA5,1.9
ZNF407,1.9
SH2B2,1.9
PMS2L5,1.9
UBE2W,1.9
ASNSD1,1.9
C9orf114,1.9
ZNF614,2
AMY2B,2
ZNF143,2
KIAA1731,2
C3orf58,2
TBC1D2B,2
LOC729678,2
DDX11,2
TMUB2,2
ZNF548,2
THAP11,2
NOB1,2
SLC25A33,2
FAM111B,2
C7orf47,2
CENPB,2
BCL2L1,2
MANEAL,2
MIDN,2
MRM1,2
MC1R,2
THAP9,2
FASTKD3,2
GPBP1,2
GALNTL4,2
CLK2,2
BAHD1,2
C9orf32,2
ZNF430,2
ABT1,2
SULT1A3 /// SULT1A4,2
PPP1R3E,2
GPR172A,2
PIM2,2
NR1H2,2
FBXO33,2
MGC24039,2
NECAP2,2
FAM73B,2
WAC,2
CSNK1D,2
C5orf26,2
MBD4,2
UBIAD1,2
DYNLL2,2
TAPT1,2
SRPRB,2
E2F3,2
LANCL2,2
GMNN,2
SLC25A19,2
AASDH,2
MTF2,2
ZNF598,2
TRIM37,2
SPEN,2
CXorf40A,2
MGC12966,2
MCM9,2
SLC35B2,2
CHST14,2
XKR8,2
CCDC15,2
SEPHS2,2
C9orf80,2
UTP14A /// UTP14C,2
NR3C1,2
PIGV,2
REV1,2
POLDIP3,2
C5orf25,2
KIAA1600,2
THAP1,2
EZH1,2
CIR,2
TRIM38,2
HIAT1,2
ZNF593,2
TMEM18,2
KIAA0999,2
LOC440944,2
NFKBIB,2
C16orf70,2
SFRS6,2
SRR,2
BCL7B,2.1
PTPN7,2.1
VEZF1,2.1
ASH1L,2.1
TRIM73,2.1
ANKRD40,2.1
LOC93622,2.1
AMD1,2.1
TIPIN,2.1
ALAS1,2.1
CNOT3,2.1
CXorf40B,2.1
C1orf50,2.1
NAIP,2.1
NSUN5C,2.1
SLC20A1,2.1
ABCF3,2.1
ANKRD54,2.1
NOL5A,2.1
SMAD3,2.1
IFNAR2,2.1
SLC1A5,2.1
HSH2D,2.1
SYF2,2.1
C11orf46,2.1
AADACL1,2.1
SMG5,2.1
RYBP,2.1
ZEB1,2.1
ARL4D,2.1
SLCO4A1,2.1
H3F3B,2.1
NRARP,2.1
FAM78A,2.1
SOX4,2.1
REL,2.1
KIAA2013,2.1
C16orf80,2.1
ZNF295,2.1
TM2D2,2.1
ZBTB25,2.1
LYSMD2,2.1
PIGC,2.1
SFRS8,2.1
STIL,2.1
MAP7D1,2.1
KIAA1604,2.1
C3orf21,2.1
SMAD5,2.1
JAG1,2.1
PLEKHA3,2.1
FBXW9,2.1
C21orf119,2.1
ZDHHC5,2.1
CCDC66,2.1
NFATC1,2.1
HIVEP2,2.1
DHRS13,2.1
DCP1A,2.1
PYGO2,2.1
C5orf30,2.1
PFKFB3,2.1
HOXA7,2.1
KIAA0240,2.1
ZNF654,2.1
CTB-1048E9.5,2.1
ZNF708,2.1
CDC2L5,2.1
FAM39B,2.1
CTGLF1 /// CTGLF3 /// CTGLF4 /// CTGLF5 /// CTGLF9P /// KIAA1975,2.1
EP300,2.1
BAG5,2.1
SLC11A2,2.1
RPL22L1,2.1
FBXL11,2.1
ZNF569,2.1
SNHG5,2.1
LOC144438,2.1
BAK1,2.1
USP6NL,2.1
SQSTM1,2.1
GALNAC4S-6ST,2.1
ZNF212,2.1
FLJ10769,2.1
DOK1,2.1
IFNGR2,2.1
DYRK1A,2.1
RHOBTB2,2.1
ZNF92,2.1
MBD3,2.1
H2AFX,2.1
BMPR1A,2.1
JMJD3,2.1
PPP2R2A,2.1
DEGS1,2.1
PMS2,2.1
TNFAIP8,2.2
CXorf21,2.2
C3orf17,2.2
DHX8,2.2
SLC19A2,2.2
FAM45A,2.2
ZNF43,2.2
LOC153346,2.2
LAX1,2.2
ST3GAL5,2.2
LOC389906,2.2
FCHSD2,2.2
NDEL1,2.2
CHCHD4,2.2
UGT8,2.2
LOC731049 /// UBE2S,2.2
ESCO1,2.2
MTMR9,2.2
CASP8,2.2
ZNF45,2.2
KIAA0194,2.2
USP38,2.2
GOSR1,2.2
DIP2C,2.2
LOC205251,2.2
ANAPC10,2.2
PDCD7,2.2
CENPC1,2.2
TRIM24,2.2
PDIK1L,2.2
JOSD3,2.2
FAM27E3,2.2
EAF1,2.2
GRHL1,2.2
PMAIP1,2.2
SPIB,2.2
SAS10,2.2
NSUN3,2.2
PUF60,2.2
CCT6AP1,2.2
PIAS4,2.2
AKAP8L,2.2
RAPGEF2,2.2
TBC1D13,2.2
C19orf12,2.2
SP3,2.2
LRIG1,2.2
VCP,2.2
ZFYVE20,2.2
FAM45A /// FAM45B /// LOC731832,2.2
RNF38,2.2
MRPL46,2.2
UBE2O,2.2
SNHG7,2.2
ARHGAP12,2.2
IQSEC1,2.2
NKRF,2.2
BET1L,2.2
TEX2,2.2
MRPL36,2.2
RANBP10,2.2
NGDN,2.2
NSUN5B,2.2
RPP14,2.2
NUP62,2.2
TSEN34,2.2
OPA3,2.2
PAFAH1B2,2.2
TTC4,2.2
KIAA0323,2.2
ZNF507,2.2
RBM18,2.2
UTX,2.2
ZNF776,2.2
LOC388272,2.2
ZNF665,2.2
15E1.2,2.2
WDR43,2.2
C1orf109,2.2
CIITA,2.2
RAD9A,2.2
MTHFR,2.2
LOC284242,2.2
GRPEL1,2.2
C10orf88,2.2
KBTBD8,2.2
SCAND1,2.2
PPM2C,2.3
LARP2,2.3
KIAA0182,2.3
SEC22A,2.3
YOD1,2.3
SNF1LK2,2.3
C1orf163,2.3
PANK1,2.3
PCDH9,2.3
NUFIP1,2.3
FKBP11,2.3
POGK,2.3
JMY,2.3
LRRC8D,2.3
FAM134C,2.3
ZRSR2,2.3
MANBA,2.3
EID2,2.3
KIF18A,2.3
C22orf30,2.3
TRIM59,2.3
ARHGDIA,2.3
ARID4B,2.3
TMEM93,2.3
CKS2,2.3
SLC16A6,2.3
LOC730069 /// LOC731484,2.3
C6orf120,2.3
SCYL1,2.3
MED13,2.3
ARID2,2.3
YARS2,2.3
KLHL2,2.3
GOLGA5,2.3
LEMD3,2.3
FLAD1,2.3
C8orf33,2.3
HLA-DRB1 /// HLA-DRB3 /// LOC730415,2.3
C17orf32,2.3
MON1B,2.3
ORC6L,2.3
HIST1H2BE,2.3
ATXN7L3,2.3
TTC9C,2.3
SNAPC5,2.3
CD79B,2.3
C1orf119 /// LOC727778,2.3
C1orf9,2.3
TMEM129,2.3
C1orf131,2.3
ICAM2,2.3
BFAR,2.3
MFAP3,2.3
SIPA1L1,2.3
TAF7,2.3
LOC285812,2.3
DTX1,2.3
YY1,2.3
DDX11 /// DDX12 /// LOC642846,2.3
NIP7,2.3
KIAA1128,2.3
DNAJC1,2.3
TNRC6B,2.3
MPP5,2.3
MESDC1,2.3
RSRC2,2.3
MEX3C,2.3
SHC1,2.3
ZNF559,2.3
ADAT2,2.3
FAM53C,2.3
RRS1,2.3
RBM22,2.3
ZNF213,2.3
FKSG24,2.3
LOC255783,2.3
DNAJB6 /// LOC387820,2.3
UPF1,2.3
MON1A,2.3
RBM10,2.3
RASSF6,2.3
DERL2,2.3
PDCD2L,2.3
PDCD2,2.3
VPS33B,2.3
MAP3K3,2.3
DAPP1,2.3
GATAD1,2.3
TBC1D1,2.3
TMEM101,2.4
C12orf5,2.4
NEDD4L,2.4
CRK,2.4
MED22,2.4
ASB8,2.4
C11orf56,2.4
CTCF,2.4
ZXDC,2.4
OGFRL1,2.4
NOTCH1,2.4
ZNF189,2.4
C1orf55,2.4
MGC52110,2.4
C14orf129,2.4
FLJ10404,2.4
NSUN5,2.4
NAB1,2.4
CRAMP1L,2.4
FAM117A,2.4
AHCTF1,2.4
ELF1,2.4
MTERFD1,2.4
KIAA0907,2.4
TEX10,2.4
TRIM62,2.4
CLDN15,2.4
TTC7A,2.4
SUZ12 /// SUZ12P,2.4
PLGLA1 /// PLGLB1 /// PLGLB2,2.4
POLG,2.4
LOC221710,2.4
EVI2A,2.4
MKRN2,2.4
HOM-TES-103,2.4
NDUFV3,2.4
MBNL2,2.4
FOXN2,2.4
DHCR24,2.4
RASAL1,2.4
ARIH1,2.4
BTG1,2.4
SOCS5,2.4
TOR1A,2.4
ABL1,2.4
PIGW,2.4
MRPS30,2.4
MPHOSPH10,2.4
ARHGDIA /// LOC728908,2.4
ZNF44,2.4
C1orf108,2.4
CCDC101,2.4
SF3B4,2.4
REPIN1,2.4
TYW1,2.4
FLJ41352 /// SMPD4,2.4
C1orf104,2.4
CEP152,2.4
AKT2,2.4
LOC727942 /// PDE4DIP,2.4
MRPS26,2.4
UHRF2,2.4
C11orf24,2.4
RNF40,2.4
NAPE-PLD,2.4
THAP6,2.4
DYNLT1,2.4
EPS15L1,2.4
VGLL4,2.4
NAGPA,2.4
QTRTD1,2.4
ZFX,2.4
RAB11FIP1,2.4
AUTS2,2.4
RIPK1,2.4
RAB23,2.4
TBRG4,2.4
EBF1,2.4
LMCD1,2.4
